districtNumber;districtName;orderList;name;age;votes;nomParty
38;Severomoravskı;24;Mazánek Jaromír;46;1 103;ÈSSD
38;Severomoravskı;25;Vojtasík Antonín;48;2 098;ÈSSD
38;Severomoravskı;26;Václavec Ladislav;51;81;ÈSSD
38;Severomoravskı;27;Košík Lubomír;46;46;ÈSSD
38;Severomoravskı;28;Jeková Vìra;49;252;ÈSSD
38;Severomoravskı;29;Budín Rudolf;44;103;ÈSSD
38;Severomoravskı;30;Veverka Radko;45;73;ÈSSD
38;Severomoravskı;31;Doèkal Jaroslav;46;77;ÈSSD
38;Severomoravskı;32;Øeha František;48;106;ÈSSD
38;Severomoravskı;33;Vodová Alena;39;29;ÈSSD
38;Severomoravskı;34;Booò Tomáš;22;92;ÈSSD
38;Severomoravskı;35;Pelikán Lubomír;40;183;ÈSSD
38;Severomoravskı;36;Havlíèek Jiøí;39;60;ÈSSD
38;Severomoravskı;37;Gola František;45;70;ÈSSD
38;Severomoravskı;38;Skulina Zdenìk;35;54;ÈSSD
38;Severomoravskı;39;Šimíèková Hana;36;249;ÈSSD
38;Severomoravskı;40;Kania Vilém;48;33;ÈSSD
38;Severomoravskı;41;Doleel Albín;53;51;ÈSSD
38;Severomoravskı;42;Libosková Miroslava;45;127;ÈSSD
38;Severomoravskı;43;Vyoral Lubomír;32;133;ÈSSD
38;Severomoravskı;44;Macejka Josef;47;15;ÈSSD
38;Severomoravskı;45;Kowalík Bøetislav;47;47;ÈSSD
38;Severomoravskı;46;Kyta Vladimír;44;45;ÈSSD
38;Severomoravskı;47;Lukáè Josef;32;146;ÈSSD
38;Severomoravskı;48;Zedník Aleš;34;95;ÈSSD
38;Severomoravskı;49;Jurníèek Rostislav;43;84;ÈSSD
38;Severomoravskı;51;Šafarèíková Ivana;26;25;ÈSSD
38;Severomoravskı;52;Waliszewski Vasil;39;41;ÈSSD
38;Severomoravskı;53;Víteèek Pavel;52;83;ÈSSD
38;Severomoravskı;54;Hoòková Marie;38;57;ÈSSD
38;Severomoravskı;55;Blaek Ivan;47;64;ÈSSD
31;Hl.m.Praha;1;Køeèek Stanislav;54;791;HSD-SMS
31;Hl.m.Praha;2;Serinová Boena;48;127;HSD-SMS
31;Hl.m.Praha;3;Lisá Lidka;59;436;HSD-SMS
31;Hl.m.Praha;4;Christenová Helena;52;220;HSD-SMS
31;Hl.m.Praha;5;Èepelová Renata;35;158;HSD-SMS
31;Hl.m.Praha;6;Heøman Karel;45;126;HSD-SMS
31;Hl.m.Praha;7;Fišerová Marie;47;93;HSD-SMS
31;Hl.m.Praha;8;Prokš Petr;37;274;HSD-SMS
31;Hl.m.Praha;9;Šnıdr Petr;43;96;HSD-SMS
31;Hl.m.Praha;10;Fiala Stanislav;44;119;HSD-SMS
31;Hl.m.Praha;11;Esner Jiøí;53;82;HSD-SMS
32;Støedoèeskı;1;Filingerová Jitka;52;347;HSD-SMS
32;Støedoèeskı;2;Adámek František;37;156;HSD-SMS
32;Støedoèeskı;3;Strnad Lubomír;48;106;HSD-SMS
32;Støedoèeskı;4;Nìmeèková Hana;47;278;HSD-SMS
32;Støedoèeskı;6;Èech Lubomír;39;142;HSD-SMS
32;Støedoèeskı;7;Kubrichtová Rùena;45;194;HSD-SMS
32;Støedoèeskı;8;Machka Miloslav;49;173;HSD-SMS
32;Støedoèeskı;9;Adámek Zdenìk;45;42;HSD-SMS
32;Støedoèeskı;10;Kmenta Josef;49;84;HSD-SMS
32;Støedoèeskı;11;Pechanec Igor;28;131;HSD-SMS
32;Støedoèeskı;12;Kuška Miloslav;46;85;HSD-SMS
32;Støedoèeskı;13;Adámek Roman;30;120;HSD-SMS
33;Jihoèeskı;1;Schiefer Ivo;51;359;HSD-SMS
33;Jihoèeskı;2;Bláha Jan;44;201;HSD-SMS
33;Jihoèeskı;3;Záveská Jarmila;33;150;HSD-SMS
33;Jihoèeskı;4;Øièánek Jaroslav;53;569;HSD-SMS
33;Jihoèeskı;5;Moravcová Eva;27;163;HSD-SMS
33;Jihoèeskı;6;Brech Petr;28;123;HSD-SMS
33;Jihoèeskı;7;Kylar Leoš;27;152;HSD-SMS
33;Jihoèeskı;8;Mandelík Karel;26;241;HSD-SMS
33;Jihoèeskı;9;Dìdiè Václav;58;363;HSD-SMS
34;Západoèeskı;1;Zbránek Václav;37;213;HSD-SMS
34;Západoèeskı;2;Teplík Jan;40;173;HSD-SMS
34;Západoèeskı;3;Nová Marie;35;293;HSD-SMS
34;Západoèeskı;4;Lamberskı Zdenìk;48;176;HSD-SMS
34;Západoèeskı;5;Bollová Renata;24;184;HSD-SMS
34;Západoèeskı;6;Bena Lavoslav;59;92;HSD-SMS
34;Západoèeskı;7;Hrdonka Václav;35;154;HSD-SMS
34;Západoèeskı;8;Maleèek Vladimír;55;122;HSD-SMS
35;Severoèeskı;1;Kaèírek Michal;21;229;HSD-SMS
35;Severoèeskı;2;Kunertová Irena;56;155;HSD-SMS
35;Severoèeskı;3;Vrbová Sarlotta;51;148;HSD-SMS
35;Severoèeskı;5;Janák Jiøí;62;95;HSD-SMS
35;Severoèeskı;6;Jelínková Ladislava;53;130;HSD-SMS
35;Severoèeskı;7;Hudeèek Jiøí;35;185;HSD-SMS
35;Severoèeskı;8;Kotvrdová Ladislava;50;43;HSD-SMS
35;Severoèeskı;9;Mouèka Antonín;52;109;HSD-SMS
35;Severoèeskı;10;Blaek Miroslav;44;94;HSD-SMS
35;Severoèeskı;11;Pavlová Stanislava;35;173;HSD-SMS
36;Vıchodoèeskı;1;Kraus Michal;34;749;HSD-SMS
36;Vıchodoèeskı;2;Vrbovskı Ferdinad;39;971;HSD-SMS
36;Vıchodoèeskı;3;Lopourová Jarmila;47;435;HSD-SMS
36;Vıchodoèeskı;4;Mikeška Luboš;29;205;HSD-SMS
36;Vıchodoèeskı;5;Fialová Hana;41;800;HSD-SMS
36;Vıchodoèeskı;6;Bárta Josef;57;222;HSD-SMS
36;Vıchodoèeskı;7;Vystrèil Ivan;26;371;HSD-SMS
36;Vıchodoèeskı;8;Ludvíková Kateøina;24;234;HSD-SMS
36;Vıchodoèeskı;9;Gonsior Even;61;112;HSD-SMS
36;Vıchodoèeskı;10;Polách Jan;53;131;HSD-SMS
36;Vıchodoèeskı;11;Vomlelová Lenka;26;157;HSD-SMS
36;Vıchodoèeskı;12;Vobora Miroslav;58;71;HSD-SMS
36;Vıchodoèeskı;14;Exnar Jiøí;48;207;HSD-SMS
36;Vıchodoèeskı;15;Mifka Zdenìk;50;124;HSD-SMS
36;Vıchodoèeskı;16;Bartošová Dagmar;38;164;HSD-SMS
36;Vıchodoèeskı;17;Bala Ladislav;41;96;HSD-SMS
36;Vıchodoèeskı;18;Moník Václav;55;115;HSD-SMS
37;Jihomoravskı;1;Kryèer Jan;37;24 678;HSD-SMS
37;Jihomoravskı;2;Skoèovskı Miloš;55;8 015;HSD-SMS
37;Jihomoravskı;3;Mazalová Gerta;48;11 320;HSD-SMS
37;Jihomoravskı;4;Bílı Jiøí;40;9 454;HSD-SMS
37;Jihomoravskı;5;Macháèek Jiøí;34;10 654;HSD-SMS
37;Jihomoravskı;6;Jegla Jan;47;5 018;HSD-SMS
37;Jihomoravskı;7;Kavan Petr;48;3 890;HSD-SMS
37;Jihomoravskı;8;Štambera Dalibor;32;11 215;HSD-SMS
37;Jihomoravskı;9;Fuchsová Jana;49;4 322;HSD-SMS
37;Jihomoravskı;10;Èíek Jiøí;53;3 691;HSD-SMS
37;Jihomoravskı;11;Doèkal Vítìzslav;45;4 375;HSD-SMS
37;Jihomoravskı;12;Havlíèek Miroslav;34;3 519;HSD-SMS
37;Jihomoravskı;13;Katròák Josef;52;1 462;HSD-SMS
37;Jihomoravskı;14;Anderle Antonín;54;3 719;HSD-SMS
37;Jihomoravskı;15;Vojáèek Josef;52;4 811;HSD-SMS
37;Jihomoravskı;16;Hrubı Milan;54;2 458;HSD-SMS
37;Jihomoravskı;17;Marša Igor;32;7 867;HSD-SMS
37;Jihomoravskı;18;Plaèek Miroslav;38;7 876;HSD-SMS
37;Jihomoravskı;19;Dresler Rudolf;40;1 991;HSD-SMS
37;Jihomoravskı;20;Ráèková Pavla;51;2 558;HSD-SMS
37;Jihomoravskı;21;Vrbková Olga;45;1 975;HSD-SMS
37;Jihomoravskı;22;Mach Jiøí;34;3 797;HSD-SMS
37;Jihomoravskı;23;Èáslava Jiøí;40;4 964;HSD-SMS
37;Jihomoravskı;24;emla Jaroslav;27;4 562;HSD-SMS
37;Jihomoravskı;25;Skøivánková Julie;56;5 696;HSD-SMS
37;Jihomoravskı;26;Kupka Jaroslav;40;847;HSD-SMS
37;Jihomoravskı;27;Bureš Jaroslav;51;216;HSD-SMS
37;Jihomoravskı;28;Knoflíèek František;46;206;HSD-SMS
37;Jihomoravskı;29;Rudinskı František;44;116;HSD-SMS
37;Jihomoravskı;30;Dvoøák Jan;25;181;HSD-SMS
37;Jihomoravskı;31;ák Cyril;74;41;HSD-SMS
37;Jihomoravskı;32;Laurenèík Jiøí;34;221;HSD-SMS
37;Jihomoravskı;33;Vykydal František;54;67;HSD-SMS
37;Jihomoravskı;34;Novák Václav;58;116;HSD-SMS
37;Jihomoravskı;35;Stejskal Jaromír;53;290;HSD-SMS
37;Jihomoravskı;36;Peprník Josef;40;142;HSD-SMS
37;Jihomoravskı;37;Maòáková Libuše;43;232;HSD-SMS
37;Jihomoravskı;38;Vyzina Pavel;35;166;HSD-SMS
37;Jihomoravskı;39;Komárková Pavla;42;283;HSD-SMS
37;Jihomoravskı;40;Morávek Stanislav;55;206;HSD-SMS
37;Jihomoravskı;41;Konsbul Otakar;60;96;HSD-SMS
37;Jihomoravskı;43;Jelínková Ludmila;50;110;HSD-SMS
37;Jihomoravskı;44;Trecha Jiøí;23;283;HSD-SMS
37;Jihomoravskı;45;Kincel Karel;53;46;HSD-SMS
37;Jihomoravskı;46;Sobol Slavomír;47;169;HSD-SMS
37;Jihomoravskı;47;Nešpor Milan;49;207;HSD-SMS
38;Severomoravskı;1;Opatøil Rudolf;32;12 631;HSD-SMS
38;Severomoravskı;2;Kaèenka František;44;7 744;HSD-SMS
38;Severomoravskı;3;Broulík Jaroslav;41;8 699;HSD-SMS
38;Severomoravskı;4;Stodùlka Zbyšek;44;6 936;HSD-SMS
38;Severomoravskı;5;Hubová Marta;46;7 315;HSD-SMS
38;Severomoravskı;6;áèek Rudolf;43;9 270;HSD-SMS
38;Severomoravskı;7;Mojíš Lubomír;61;3 302;HSD-SMS
38;Severomoravskı;8;Parchanskı František;58;4 559;HSD-SMS
38;Severomoravskı;9;Opletal Vladislav;53;3 944;HSD-SMS
38;Severomoravskı;10;Bayer Oldøich;60;1 604;HSD-SMS
38;Severomoravskı;11;Mikula Ivan;46;4 421;HSD-SMS
38;Severomoravskı;12;Kolomazník Karel;41;9 228;HSD-SMS
38;Severomoravskı;13;Klimek Jaroslav;49;3 959;HSD-SMS
38;Severomoravskı;14;Šperka Zdenìk;38;4 128;HSD-SMS
38;Severomoravskı;15;ïárskı Josef;61;1 570;HSD-SMS
38;Severomoravskı;16;Juøíková Miroslava;44;7 364;HSD-SMS
38;Severomoravskı;17;Dichter František;49;4 145;HSD-SMS
38;Severomoravskı;18;Koláøová Vojtìška;42;2 817;HSD-SMS
38;Severomoravskı;19;Vašinková Vìra;50;1 571;HSD-SMS
38;Severomoravskı;20;Rùièka Roman;22;5 226;HSD-SMS
38;Severomoravskı;21;Loyková Vìra;46;5 929;HSD-SMS
38;Severomoravskı;22;Guziur Bohumil;46;2 008;HSD-SMS
38;Severomoravskı;23;Èerná Jaroslava;32;6 572;HSD-SMS
38;Severomoravskı;24;Srovnal Drahomír;40;4 035;HSD-SMS
38;Severomoravskı;25;Krajíèková Miroslava;40;2 892;HSD-SMS
38;Severomoravskı;26;Alt Vladimír;56;110;HSD-SMS
38;Severomoravskı;27;Pøibyla Tomáš;47;235;HSD-SMS
38;Severomoravskı;28;Proczek Jiøí;36;188;HSD-SMS
38;Severomoravskı;29;Nossek Horst;52;51;HSD-SMS
38;Severomoravskı;30;Špalek Vítìzslav;28;163;HSD-SMS
38;Severomoravskı;31;Klapuch Zdenìk;49;93;HSD-SMS
38;Severomoravskı;32;Mareèek Tomáš;22;327;HSD-SMS
38;Severomoravskı;33;Klapuchová Milada;48;141;HSD-SMS
38;Severomoravskı;34;Horák Jiøí;32;331;HSD-SMS
38;Severomoravskı;35;Lhotská Jindøiška;55;80;HSD-SMS
38;Severomoravskı;36;Krulikovskı Jiøí;44;219;HSD-SMS
38;Severomoravskı;37;Chlebovskı Josef;40;72;HSD-SMS
38;Severomoravskı;38;Vıtisk Zdenìk;40;215;HSD-SMS
38;Severomoravskı;39;Bro Josef;63;93;HSD-SMS
38;Severomoravskı;40;Rozpondková Renata;43;141;HSD-SMS
38;Severomoravskı;41;Poledník Miroslav;31;164;HSD-SMS
38;Severomoravskı;42;Koláø Jaromír;28;179;HSD-SMS
38;Severomoravskı;43;Vašata Jaroslav;56;41;HSD-SMS
38;Severomoravskı;44;Gaj Václav;21;228;HSD-SMS
38;Severomoravskı;45;Šmaus Karel;59;52;HSD-SMS
38;Severomoravskı;46;Meluzin Ladislav;48;158;HSD-SMS
38;Severomoravskı;47;Víchová Sylvie;32;273;HSD-SMS
31;Hl.m.Praha;1;Koníèek Josef;64;2 827;HDJ
31;Hl.m.Praha;2;Velenskı Ladislav;66;1 554;HDJ
31;Hl.m.Praha;3;Svitáková Miroslava;47;2 997;HDJ
31;Hl.m.Praha;4;Kubínová Emilie;63;1 765;HDJ
31;Hl.m.Praha;5;Mandlerová Jana;62;2 193;HDJ
31;Hl.m.Praha;6;Benešová Olga;70;1 602;HDJ
31;Hl.m.Praha;7;Holub Miroslav;63;1 050;HDJ
31;Hl.m.Praha;8;Kıra Bohumil;63;546;HDJ
31;Hl.m.Praha;9;Hrubı Ilja;42;2 742;HDJ
31;Hl.m.Praha;10;Rafaj Jan;71;491;HDJ
31;Hl.m.Praha;11;Sova Josef;64;1 009;HDJ
31;Hl.m.Praha;12;Honák František;72;311;HDJ
31;Hl.m.Praha;13;Fröhlich Vladimír;84;267;HDJ
32;Støedoèeskı;1;Rozhon Jaroslav;69;3 184;HDJ
32;Støedoèeskı;2;Štìpán Libor;59;5 354;HDJ
32;Støedoèeskı;3;Havlíèek Vladimír;45;3 434;HDJ
32;Støedoèeskı;4;Špalková Boena;56;4 648;HDJ
32;Støedoèeskı;6;Bursa Jan;62;2 782;HDJ
33;Jihoèeskı;1;Strych Jaroslav;68;1 708;HDJ
33;Jihoèeskı;2;Kopøivová Marie;68;2 414;HDJ
33;Jihoèeskı;3;Èíek Pavel;39;2 019;HDJ
33;Jihoèeskı;4;Tøísková Jarmila;61;1 989;HDJ
33;Jihoèeskı;5;alud Josef;69;1 755;HDJ
33;Jihoèeskı;6;Pffafl František;71;1 060;HDJ
34;Západoèeskı;2;Kalivoda Jan;52;4 685;HDJ
34;Západoèeskı;3;Hesoun Josef;61;3 778;HDJ
34;Západoèeskı;4;Urbanová Ludmila;69;3 432;HDJ
35;Severoèeskı;1;Holeèek Jan;48;8 826;HDJ
35;Severoèeskı;2;Mrkvièková Anna;66;6 108;HDJ
35;Severoèeskı;3;Boleslav Jan;42;5 678;HDJ
35;Severoèeskı;4;Stroukal Jiøí;59;6 983;HDJ
35;Severoèeskı;5;Klaban Miroslav;68;5 194;HDJ
36;Vıchodoèeskı;1;Malkovská Zdeòka;58;3 173;HDJ
36;Vıchodoèeskı;3;Bláhová Jiøina;58;3 117;HDJ
37;Jihomoravskı;5;Sedláèek Jaroslav;60;1 893;HDJ
37;Jihomoravskı;6;Holı Milan;40;2 226;HDJ
37;Jihomoravskı;7;Navrátil Oldøich;61;1 649;HDJ
37;Jihomoravskı;8;Venusová Rùena;61;1 174;HDJ
37;Jihomoravskı;9;Hofírek Miroslav;69;1 289;HDJ
37;Jihomoravskı;10;Glacner František;58;1 511;HDJ
37;Jihomoravskı;11;Zeligerová Marta;60;937;HDJ
37;Jihomoravskı;12;Boks Ladislav;50;1 993;HDJ
37;Jihomoravskı;13;Bruner Rudolf;62;1 305;HDJ
37;Jihomoravskı;14;Brumovská Anna;67;624;HDJ
37;Jihomoravskı;15;Mikulka Pavel;57;2 433;HDJ
37;Jihomoravskı;16;Vanìk Leoš;51;1 665;HDJ
38;Severomoravskı;1;Akrman Jaromír;61;4 423;HDJ
38;Severomoravskı;2;Muèka Aleš;57;7 135;HDJ
38;Severomoravskı;3;Burian Pavel;60;3 402;HDJ
38;Severomoravskı;4;Švachová Marie;63;1 734;HDJ
38;Severomoravskı;5;Tibitanzl Jiøí;54;5 807;HDJ
38;Severomoravskı;6;Horkı Miroslav;65;1 939;HDJ
38;Severomoravskı;7;Dokoupil Ladislav;43;4 925;HDJ
38;Severomoravskı;8;Markusová Dagmar;70;2 368;HDJ
38;Severomoravskı;9;Zatloukal Vladimír;66;1 323;HDJ
38;Severomoravskı;10;Oherová Anna;60;2 663;HDJ
38;Severomoravskı;11;Musil František;64;4 959;HDJ
38;Severomoravskı;12;Vladík Jaroslav;64;1 761;HDJ
31;Hl.m.Praha;1;Lesák Josef;71;203;NSS-ÈSNS
31;Hl.m.Praha;2;Paldus Karel;37;212;NSS-ÈSNS
31;Hl.m.Praha;3;Pauer Jaroslav;52;130;NSS-ÈSNS
31;Hl.m.Praha;4;Vrána Miroslav;45;127;NSS-ÈSNS
31;Hl.m.Praha;5;Holub František;42;83;NSS-ÈSNS
31;Hl.m.Praha;6;Stránskı František;47;49;NSS-ÈSNS
31;Hl.m.Praha;7;Èervenka Ludìk;51;73;NSS-ÈSNS
31;Hl.m.Praha;8;Pospíšilová Jana;49;66;NSS-ÈSNS
31;Hl.m.Praha;9;Šimek Petr;48;37;NSS-ÈSNS
31;Hl.m.Praha;10;Rus Jan;45;120;NSS-ÈSNS
31;Hl.m.Praha;11;Holec František;66;30;NSS-ÈSNS
31;Hl.m.Praha;12;Sušickı Jiøí;58;19;NSS-ÈSNS
31;Hl.m.Praha;13;Špilík Vaclav;49;49;NSS-ÈSNS
31;Hl.m.Praha;14;Štajner Jaroslav;53;31;NSS-ÈSNS
31;Hl.m.Praha;15;Lazák Martin;40;46;NSS-ÈSNS
31;Hl.m.Praha;16;Matura Pavel;59;47;NSS-ÈSNS
31;Hl.m.Praha;17;Dufour René;43;32;NSS-ÈSNS
32;Støedoèeskı;1;Marek Jindøich;39;128;NSS-ÈSNS
32;Støedoèeskı;2;May Jiøí;45;137;NSS-ÈSNS
32;Støedoèeskı;3;Ondráèek Pavel;46;107;NSS-ÈSNS
32;Støedoèeskı;4;Veselı Jiøí;57;127;NSS-ÈSNS
33;Jihoèeskı;1;Menšík Radim;45;61;NSS-ÈSNS
33;Jihoèeskı;2;Horkı Josef;51;107;NSS-ÈSNS
33;Jihoèeskı;3;Kohout František;49;83;NSS-ÈSNS
33;Jihoèeskı;4;Vaníèek Josef;49;86;NSS-ÈSNS
34;Západoèeskı;1;Kylián Josef;63;109;NSS-ÈSNS
34;Západoèeskı;2;Strasser Jiøí;25;110;NSS-ÈSNS
34;Západoèeskı;3;Jánošík Pavel;35;123;NSS-ÈSNS
34;Západoèeskı;4;Grosz Václav;47;107;NSS-ÈSNS
34;Západoèeskı;5;Mrlík Pavel;39;85;NSS-ÈSNS
35;Severoèeskı;1;Diveckı Vladimír;49;279;NSS-ÈSNS
35;Severoèeskı;2;Filek Radomil;35;177;NSS-ÈSNS
35;Severoèeskı;4;Vávra Ivan;40;209;NSS-ÈSNS
35;Severoèeskı;5;Štencl Petr;37;175;NSS-ÈSNS
36;Vıchodoèeskı;1;Olexa Petr;48;99;NSS-ÈSNS
36;Vıchodoèeskı;2;Funfera Petr;43;76;NSS-ÈSNS
36;Vıchodoèeskı;4;Jech Zdenìk;50;78;NSS-ÈSNS
37;Jihomoravskı;1;Podsedník Pavel;60;351;NSS-ÈSNS
37;Jihomoravskı;2;Kosová Františka;54;162;NSS-ÈSNS
37;Jihomoravskı;3;Rohrbacher Ivo;54;162;NSS-ÈSNS
37;Jihomoravskı;4;Bøicháèek Vlastimil;46;280;NSS-ÈSNS
37;Jihomoravskı;5;Budín Aleš;22;98;NSS-ÈSNS
37;Jihomoravskı;6;Rezová Drahomíra;50;216;NSS-ÈSNS
37;Jihomoravskı;7;Klíè Miroslav;39;107;NSS-ÈSNS
37;Jihomoravskı;8;Páral Martin;32;118;NSS-ÈSNS
38;Severomoravskı;1;Lindovskı Miroslav;55;137;NSS-ÈSNS
38;Severomoravskı;2;Šolc Martin;41;83;NSS-ÈSNS
38;Severomoravskı;3;Hanák Blahoslav;49;108;NSS-ÈSNS
31;Hl.m.Praha;1;Kouba Ladislav;46;502;D92
31;Hl.m.Praha;2;Krbùšek Jaroslav;40;219;D92
31;Hl.m.Praha;3;Raková Dagmar;41;231;D92
31;Hl.m.Praha;4;Hanzlíèek Jiøí;53;418;D92
31;Hl.m.Praha;5;Glasová Alice;39;148;D92
31;Hl.m.Praha;6;Hochová Dagmar;66;170;D92
31;Hl.m.Praha;7;Jiránek Ladislav;49;238;D92
31;Hl.m.Praha;8;Holeèková Ladislava;48;69;D92
31;Hl.m.Praha;10;Janoušková Jana;51;67;D92
31;Hl.m.Praha;11;Chaloupek Vladimír;40;96;D92
31;Hl.m.Praha;12;Kamínková Jarmila;49;108;D92
32;Støedoèeskı;1;Mašatová Milada;47;388;D92
32;Støedoèeskı;2;Šabata Miloslav;62;321;D92
32;Støedoèeskı;3;Havlík Jaroslav;46;254;D92
32;Støedoèeskı;4;Tetourová Jana;39;319;D92
32;Støedoèeskı;5;Soudek Ivan;36;371;D92
32;Støedoèeskı;6;Vrkoè Milan;30;312;D92
32;Støedoèeskı;7;Endrle Bedøich;48;197;D92
32;Støedoèeskı;8;Jendøejèíková Vìra;68;170;D92
32;Støedoèeskı;9;Øeháková Pavla;27;545;D92
33;Jihoèeskı;1;Piverka Walter;61;123;D92
33;Jihoèeskı;2;Thein Zdenìk;56;156;D92
33;Jihoèeskı;3;Seydl Michal;39;238;D92
33;Jihoèeskı;4;Šimon Karel;48;170;D92
33;Jihoèeskı;5;Mamulová Marie;43;199;D92
34;Západoèeskı;1;Stieber Václav;56;465;D92
34;Západoèeskı;2;Zemanová Zdeòka;51;534;D92
34;Západoèeskı;3;Rusòáková Jana;59;277;D92
34;Západoèeskı;4;Kraus Josef;38;536;D92
34;Západoèeskı;5;Zahradníková Nadìda;55;348;D92
34;Západoèeskı;6;Landergottová Zuzana;41;265;D92
34;Západoèeskı;7;Zápotockı Vladimír;45;224;D92
34;Západoèeskı;8;Tichı Karel;59;167;D92
35;Severoèeskı;1;Vacek Eduard;45;1 043;D92
35;Severoèeskı;2;Trnková Olga;35;694;D92
35;Severoèeskı;3;Matouš Stanislav;54;644;D92
35;Severoèeskı;4;Pelikán Miloš;68;575;D92
35;Severoèeskı;5;Kmínek Petr;30;531;D92
35;Severoèeskı;6;Kvapil Jiøí;25;808;D92
36;Vıchodoèeskı;1;Hejsek Josef;43;592;D92
36;Vıchodoèeskı;2;Kalousová Eva;50;527;D92
36;Vıchodoèeskı;3;Fibrichová Kamila;23;355;D92
36;Vıchodoèeskı;4;Mašata Daniel;21;308;D92
36;Vıchodoèeskı;5;Kleinová Jitka;27;550;D92
36;Vıchodoèeskı;6;Petrovická Vìra;49;358;D92
37;Jihomoravskı;1;Kelnar Jaroslav;38;608;D92
37;Jihomoravskı;2;Køika Jan;38;421;D92
37;Jihomoravskı;3;Lejska Mojmír;37;999;D92
37;Jihomoravskı;4;Gardlíková Beata;32;682;D92
37;Jihomoravskı;5;Coural Karel;50;223;D92
37;Jihomoravskı;6;Kopeènı Petr;46;315;D92
37;Jihomoravskı;7;Kudlièková Miluše;48;337;D92
37;Jihomoravskı;8;Ptáèek Vladimír;69;520;D92
37;Jihomoravskı;9;Doubek Karel;48;263;D92
37;Jihomoravskı;10;Buštová Alice;29;752;D92
38;Severomoravskı;1;Košál Radovan;28;1 816;D92
38;Severomoravskı;2;Ruprich Vít;28;1 363;D92
38;Severomoravskı;3;Míka Pavel;40;1 487;D92
38;Severomoravskı;4;Míèek Libor;28;1 276;D92
38;Severomoravskı;5;Janoušek Jaroslav;45;996;D92
38;Severomoravskı;6;Hrdina Jiøí;28;1 066;D92
31;Hl.m.Praha;1;Rozmanitı Hubert;65;59;SRNDJ
31;Hl.m.Praha;2;Kuèerová Jana;50;67;SRNDJ
31;Hl.m.Praha;3;Kaplan Vladimír;38;63;SRNDJ
31;Hl.m.Praha;4;Chmelka Ludvík;36;54;SRNDJ
32;Støedoèeskı;1;Kalina František;55;89;SRNDJ
32;Støedoèeskı;2;Císaøovská Jitka;35;60;SRNDJ
32;Støedoèeskı;3;Kulhavá Marie;42;61;SRNDJ
33;Jihoèeskı;1;Šarka Josef;73;35;SRNDJ
33;Jihoèeskı;2;Thumová Ludmila;44;49;SRNDJ
34;Západoèeskı;1;Ledvina Petr;39;59;SRNDJ
35;Severoèeskı;1;Bièík Miroslav;31;124;SRNDJ
35;Severoèeskı;2;Kudr Rudolf;44;139;SRNDJ
36;Vıchodoèeskı;1;Kohút Jiøí;34;195;SRNDJ
36;Vıchodoèeskı;2;Zuzánek Ivan;29;171;SRNDJ
36;Vıchodoèeskı;3;Stejskalová Eva;35;179;SRNDJ
36;Vıchodoèeskı;4;Michl Ivan;42;140;SRNDJ
37;Jihomoravskı;1;Zemánek Richard;45;475;SRNDJ
37;Jihomoravskı;2;Špalt Zdenìk;41;387;SRNDJ
37;Jihomoravskı;3;Uher Milan;64;136;SRNDJ
37;Jihomoravskı;4;Chmelaø Alois;40;310;SRNDJ
37;Jihomoravskı;5;Bárta Zdenìk;44;279;SRNDJ
38;Severomoravskı;1;Taraba Vladimír;55;270;SRNDJ
38;Severomoravskı;2;Jordán Petr;45;223;SRNDJ
38;Severomoravskı;3;Sosna Jaromír;43;310;SRNDJ
38;Severomoravskı;4;Petreèek Miroslav;23;258;SRNDJ
38;Severomoravskı;5;Okapal Vladislav;46;128;SRNDJ
38;Severomoravskı;6;Topiè Drahoslav;43;220;SRNDJ
38;Severomoravskı;7;Nálepa Jiøí;33;175;SRNDJ
38;Severomoravskı;8;Frièková Jarmila;45;116;SRNDJ
38;Severomoravskı;9;Koláø Jan;48;232;SRNDJ
38;Severomoravskı;10;Draganèík Jindøich;52;138;SRNDJ
31;Hl.m.Praha;1;Janù Ivana;46;4 072;KDU-ÈSL
31;Hl.m.Praha;3;Decker Jan;30;2 632;KDU-ÈSL
31;Hl.m.Praha;4;Pavlík Petr;48;1 616;KDU-ÈSL
31;Hl.m.Praha;5;Voronov Petr;52;640;KDU-ÈSL
31;Hl.m.Praha;6;Fuèíková Terezie;56;1 091;KDU-ÈSL
31;Hl.m.Praha;7;Vrána Vaclav;48;1 001;KDU-ÈSL
31;Hl.m.Praha;8;Lederer Jan;44;680;KDU-ÈSL
31;Hl.m.Praha;9;Dobrodinskı Jan;67;990;KDU-ÈSL
31;Hl.m.Praha;10;Krajíèek Stanislav;57;319;KDU-ÈSL
31;Hl.m.Praha;11;Mráèek František;58;1 130;KDU-ÈSL
31;Hl.m.Praha;12;Šilhan Karel;55;410;KDU-ÈSL
31;Hl.m.Praha;13;Šíma Zdislav;45;328;KDU-ÈSL
31;Hl.m.Praha;14;Stibral Jiøí;60;235;KDU-ÈSL
31;Hl.m.Praha;15;Churáò Jiøí;39;324;KDU-ÈSL
31;Hl.m.Praha;16;Duchek Karel;49;314;KDU-ÈSL
31;Hl.m.Praha;17;Hora Václav;48;157;KDU-ÈSL
31;Hl.m.Praha;18;Miškovská Zuzana;33;783;KDU-ÈSL
31;Hl.m.Praha;19;Váchová Iva;36;636;KDU-ÈSL
